tab	tabs
teat	teats
technique	techniques
technologist	technologists
technophobe	technophobes
technocrat	technocrats
technology	technologies
tee	teed
teddy	teddies
tee	tees
tee	teeing
teem	teemed
teem	teems
teem	teeming
teenager	teenagers
teeny	teenier
teen	teens
teeny-bopper	teeny-boppers
teeny	teeniest
tee-shirt	tee-shirts
teeter	teetered
teepee	teepees
teeter	teeters
teeter	teetering
Ted	Teds
teethe	teethed
teethe	teething
teetotaller	teetotallers
teether	teethers
telangiectasia	telangiectasiae
tel	tels
teethe	teethes
telangiectasia	telangiectasias
telecast	telecasts
telecast	telecasted
telecommunication	telecommunications
telecommuter	telecommuters
telecom	telecoms
telecast	telecasting
teleconference	teleconferenced
teleconference	teleconferencing
telegraph	telegraphing
teleconference	teleconferences
telemarketer	telemarketers
telegraph	telegraphs
telegraph	telegraphed
telemetry	telemetries
telephone	telephones
telephone	telephoned
telephone	telephoning
telephoto	telephotos
telephonist	telephonists
teleport	teleporting
teleport	teleports
teleport	teleported
telepresence	telepresences
teleportation	teleportations
teleprocessing	teleprocessings
teleprinter	teleprinters
teleradiology	teleradiologies
telescope	telescopes
telescope	telescoped
telescope	telescoping
telescreen	telescreens
Teletype	Teletypes
televiewer	televiewers
televise	televises
televise	televised
televise	televising
television	televisions
telex	telexes
telegram	telegrams
telex	telexing
tell	telling
telex	telexed
teller	tellers
telling	tellings
telling-off	tellings-off
telly	tellies
telltale	telltales
tell	told
tell	tells
telnet	telnets
telnet	telneting
telomerase	telomerases
temp	temping
telomere	telomeres
telnet	telneted
temp	temps
temper	tempering
temperament	temperaments
temperature	temperatures
temper	tempered
tempest	tempests
template	templates
template	templating
template	templated
tempo	tempi
temper	tempers
temporality	temporalities
temporary	temporaries
temporize	temporized
temple	temples
temporize	temporizes
temporize	temporizing
tempt	tempted
tempt	tempting
temptation	temptations
tempo	tempos
tempter	tempters
temptress	temptresses
tempus	tempi
tenancy	tenancies
tenant	tenanted
tenant	tenanting
ten	tens
tempt	tempts
tench	tenches
tenant	tenants
tend	tending
tend	tends
tend	tended
tender	tendered
tender	tendering
tendency	tendencies
tender	tenderer
tender	tenderest
tenderer	tenderers
tenderize	tenderized
tenderize	tenderizing
tenderloin	tenderloins
tender	tenders
tendinitis	tendinitides
tendril	tendrils
tendonitis	tendonitides
tenement	tenements
tenderize	tenderizes
ten-millionth	ten-millionths
tenner	tenners
tenet	tenets
tendon	tendons
tenosynovitis	tenosynovitides
tenor	tenors
tenpin	tenpins
tense	tenser
tense	tensed
tense	tenses
tense	tensing
tension	tensioned
tenon	tenons
tense	tensest
tension	tensioning
tent	tented
tension	tensions
tent	tenting
tensioner	tensioners
tentacle	tentacles
tensor	tensors
ten-thousandth	ten-thousandths
tent	tents
tenure	tenures
tenure	tenuring
tenth	tenths
tenure	tenured
teratogenicity	teratogenicities
teratoma	teratomas
teratoma	teratomata
tercentenary	tercentenaries
tequila	tequilas
terephthalate	terephthalates
tepee	tepees
tercet	tercets
terminal	terminals
term	termed
term	terming
terminate	terminates
terminate	terminating
terminator	terminators
terminologist	terminologists
termination	terminations
terminology	terminologies
term	terms
terminus	termini
termite	termites
terminate	terminated
terpene	terpenes
terminus	terminuses
terrace	terraced
terra	terrae
terrace	terraces
terrain	terrains
terrace	terracing
terrapin	terrapins
terrarium	terrariums
terrestrial	terrestrials
terrier	terriers
terrarium	terraria
terrify	terrified
terrify	terrifying
territory	territories
terror	terrors
terrify	terrifies
terrorise	terrorised
territorial	territorials
terrorise	terrorising
tern	terns
terrorize	terrorized
terrorise	terrorises
terrorize	terrorizing
terrorist	terrorists
terrorize	terrorizes
tesla	teslas
terse	tersest
tessellate	tessellated
tessellate	tessellating
tessellation	tessellations
terse	terser
tessellate	tessellates
test	testing
tessera	tesserae
testament	testaments
testator	testators
testbed	testbeds
test	tests
test-drive	test-driven
test-drive	test-driving
test	tested
test-drive	test-drives
teste	testes
test-drive	test-drove
testicle	testicles
testify	testifies
tester	testers
testify	testifying
testimony	testimonies
testimonial	testimonials
testing	testings
testify	testified
testosterone	testosterones
testy	testier
test-tube	test-tubes
tetanus	tetanuses
testis	testes
testy	testiest
tether	tethered
tether	tethering
tetra	tetras
tetchy	tetchier
tetrachloride	tetrachlorides
tetracycline	tetracyclines
tetrahedron	tetrahedra
tetrahedron	tetrahedrons
tetramer	tetramers
tether	tethers
tetrameter	tetrameters
tetraspanin	tetraspanins
tetrapod	tetrapods
textbook	textbooks
text-book	text-books
textile	textiles
text	texts
tetrad	tetrads
texture	textures
texture	texturing
texturing	texturings
thalamus	thalami
Thai	Thais
texture	textured
thalassaemia	thalassaemias
thank	thanked
thalamus	thalamuses
tham	thams
thank	thanking
Thanksgiving	Thanksgivings
thankyou	thankyous
that	those
thank	thanks
thatch	thatched
thatch	thatching
thatcher	thatchers
thar	thars
thatch	thatches
thaw	thaws
thaw	thawed
theater	theaters
theatregoer	theatregoers
theatre-goer	theatre-goers
thaw	thawing
theatre	theatres
theatrical	theatricals
them	'em
theft	thefts
theocracy	theocracies
theodolite	theodolites
theologian	theologians
theist	theists
theology	theologies
theophylline	theophyllines
theoretician	theoreticians
theorisation	theorisations
theorem	theorems
theorise	theorised
theorist	theorists
theme	themes
theorise	theorises
theorise	theorising
theorization	theorizations
theorize	theorizing
theory	theories
theorize	theorizes
therapist	therapists
ther	thers
theorize	theorized
thermal	thermals
therapy	therapies
thermistor	thermistors
thermocline	thermoclines
thermometer	thermometers
thermocouple	thermocouples
thermography	thermographies
thermoregulation	thermoregulations
Thermos	Thermoses
thermoplastic	thermoplastics
thermoset	thermosets
thermostat	thermostats
therm	therms
theropod	theropods
thesaurus	thesauruses
thespian	thespians
theta	thetas
thesis	theses
thiazide	thiazides
thick	thickest
thesaurus	thesauri
thicken	thickened
thicken	thickening
thickener	thickeners
thicken	thickens
thickening	thickenings
thicket	thickets
thickness	thicknesses
thief	thieves
thieve	thieved
thieve	thieving
thieving	thievings
thieve	thieves
thighbone	thighbones
thigh-bone	thigh-bones
thick	thicker
thimbleful	thimblefuls
thimble	thimbles
thin	thinner
thin	thinnest
thin	thinning
thigh	thighs
thing	things
thingamabob	thingamabobs
thin	thinned
thingummy	thingummies
think	thinked
thingy	thingies
think	thinking
think	thought
thinker	thinkers
think-tank	think-tanks
think	thinks
thinner	thinners
thin-section	thin-sections
thinness	thinnesses
thiosulphate	thiosulphates
third	thirds
thirst	thirsted
thiol	thiols
thirst	thirsts
thirst	thirsting
thirsty	thirstier
thirteenth	thirteenths
thirtieth	thirtieths
thirty	thirties
thirsty	thirstiest
thirty-fifth	thirty-fifths
thirty-first	thirty-firsts
thirty-eighth	thirty-eighths
thirty-ninth	thirty-ninths
thirty-fourth	thirty-fourths
thirty-seventh	thirty-sevenths
thin	thins
thirty-second	thirty-seconds
thirty-something	thirty-somethings
thirty-third	thirty-thirds
thirty-sixth	thirty-sixths
thirtysomething	thirtysomethings
thistle	thistles
thong	thongs
thor	thors
thorax	thoraces
this	these
thorax	thoraxes
thorny	thornier
thorny	thorniest
this	tis
thoroughbred	thoroughbreds
thoroughfare	thoroughfares
thought	thoughts
thought-criminal	thought-criminals
thousandth	thousandths
thrall	thralls
thrash	thrashed
thousand	thousands
thrash	thrashing
thrash	thrashes
thread	threaded
thread	threading
threat	threats
thread	threads
threadworm	threadworms
threaten	threatening
threaten	threatens
threaten	threatened
threesome	threesomes
three-quarter	three-quarters
three	threes
three-wheeler	three-wheelers
thresh	threshes
threonine	threonines
thresh	threshed
thresh	threshing
threshold	thresholds
thresher	threshers
thrifty	thriftier
thrifty	thriftiest
thrill	thrilling
thrill	thrilled
thriller	thrillers
thrill	thrills
thrive	thrived
thrive	thrives
thorn	thorns
thrive	thriving
thrive	throve
throat	throats
throaty	throatier
throaty	throatiest
throb	throbbing
throb	throbbed
thrombin	thrombins
thrive	thriven
throe	throes
thrombocytopenia	thrombocytopenias
thrombocytosis	thrombocytoses
thromboembolism	thromboembolisms
thrombolysis	thrombolyses
thrombophilia	thrombophilias
thrombose	thromboses
thrombose	thrombosing
thrombosis	thromboses
thrombose	thrombosed
throne	thrones
thrombus	thrombi
throng	thronged
throng	thronging
thrombus	thrombuses
throb	throbs
throttle	throttled
throttle	throttling
throughput	throughputs
throw	threw
throttle	throttles
throw	thrown
throw	throwing
throwback	throwbacks
throng	throngs
thrower	throwers
throw-in	throw-ins
thrum	thrumming
throw	throws
thrum	thrummed
thrust	thrusting
thrust	thrusts
thrush	thrushes
thruster	thrusters
thud	thudding
thud	thudded
thud	thuds
thug	thugs
thumb	thumbed
thumb	thumbs
thumb	thumbing
thumbnail	thumbnails
thumbscrew	thumbscrews
thump	thumped
thumbtack	thumbtacks
thump	thumps
thrum	thrums
thunder	thundered
thunder	thunders
thunder	thundering
thunderclap	thunderclaps
thundercloud	thunderclouds
thunderstorm	thunderstorms
thump	thumping
thunderbolt	thunderbolts
thwack	thwacked
Thursday	Thursdays
thwack	thwacking
Thur	Thurs
thwart	thwarted
thwart	thwarting
thymidine	thymidines
thymine	thymines
thwack	thwacks
thymoma	thymomas
thymoma	thymomata
thwart	thwarts
thymus	thymuses
thyroid	thyroids
thyroidectomy	thyroidectomies
thyroxine	thyroxines
thyroiditis	thyroiditides
Tibetan	Tibetans
tibia	tibiae
tiara	tiaras
tibialis	tibialides
tic	tics
thymus	thymi
tibia	tibias
tick	ticking
ticker	tickers
tick	ticks
tick	ticked
ticket	ticketed
tickle	tickled
ticket	ticketing
tickle	tickling
ticket	tickets
tiddly	tiddlier
tiddly	tiddliest
tiddler	tiddlers
tidbit	tidbits
tiddlywink	tiddlywinks
tide	tides
tickle	tickles
tideline	tidelines
tidemark	tidemarks
tide	tided
tide	tiding
tidy	tidied
tidy	tidies
tidy	tidiest
tidy	tidying
tie	tieing
tidy	tidier
tie	ties
tie	tying
tie-break	tie-breaks
tie-breaker	tie-breakers
tie-dye	tie-dyed
tie-dye	tie-dyeing
tie	tied
tie-dye	tie-dyes
tie-pin	tie-pins
tier	tiered
tier	tiering
tierce	tierces
tier	tiers
tie-in	tie-ins
tiger	tigers
tie-up	tie-ups
tight	tighter
tight	tightest
tighten	tightened
tighten	tightening
tighten	tightens
tiff	tiffs
tight	tights
tightrope	tightropes
tight-rope	tight-ropes
tilapia	tilapias
tightness	tightnesses
tilde	tildes
tigress	tigresses
tile	tiles
tile	tiling
tiler	tilers
till	tilled
till	tilling
tiller	tillers
till	tills
tilt	tilted
tilt	tilting
timber	timbered
tile	tiled
timber	timbering
tilt	tilts
timber	timbers
timbre	timbres
time	timing
time	timed
time-course	time-courses
time-frame	time-frames
time	times
timekeeper	timekeepers
time-line	time-lines
timeline	timelines
timeframe	timeframes
timeout	timeouts
time-out	time-outs
timepoint	timepoints
timepiece	timepieces
timer	timers
timely	timeliest
timescale	timescales
timeserver	timeservers
timespan	timespans
time-scale	time-scales
time-span	time-spans
time-share	time-shares
timetable	timetables
timetable	timetabling
timely	timelier
time-table	time-tables
timid	timidest
timetable	timetabled
timing	timings
timidity	timidities
timpanist	timpanists
tin	tinned
timid	timider
timorous	timorously
tincture	tinctures
tinderbox	tinderboxes
tine	tines
tin	tinning
tinea	tineas
ting	tinging
ting	tings
ting	tinged
tinge	tinged
tinge	tinges
tinge	tingeing
tinge	tinging
tingle	tingled
tingle	tingling
tingle	tingles
tinker	tinkering
tinker	tinkered
tin	tins
tinker	tinkers
tinny	tinnier
tinkle	tinkled
tinkle	tinkling
tint	tinted
tinkle	tinkles
tint	tints
tint	tinting
tip	tipped
tinny	tinniest
tip	tips
tiny	tinier
tiny	tiniest
tip-off	tip-offs
tippet	tippets
tip	tipping
tipper	tippers
tipple	tippling
tipple	tipples
tippler	tipplers
tipsy	tipsier
tipple	tippled
tiptoe	tiptoed
tipster	tipsters
tiptoe	tiptoes
tiptoe	tiptoeing
tire	tired
tipsy	tipsiest
tip-toe	tip-toes
tirade	tirades
tire	tiring
tissue	tissues
tiro	tiros
titan	titans
titania	titanias
titbit	titbits
tit	tits
titchy	titchier
titchy	titchiest
tire	tires
titer	titers
titfer	titfers
tithe	tithing
titillate	titillated
titillate	titillating
titillate	titillates
title	titled
tithe	tithes
title	titling
tithe	tithed
titrate	titrated
title-holder	title-holders
titrate	titrates
title	titles
titrate	titrating
titration	titrations
titter	tittering
titre	titres
titter	titters
titter	tittered
toadstool	toadstools
toad	toads
toady	toadied
toady	toadies
toady	toadying
tizzy	tizzies
toast	toasting
toaster	toasters
toastmaster	toastmasters
toastrack	toastracks
toast	toasted
tobacco	tobaccoes
tobacconist	tobacconists
toboggan	tobogganed
toboggan	tobogganing
toast	toasts
tobacco	tobaccos
toboggan	toboggans
tocopherol	tocopherols
today	todays
toccata	toccatas
toddle	toddled
toddle	toddling
toddler	toddlers
toddy	toddies
toddle	toddles
to-do	to-dos
toe	toeing
toe	toes
toecap	toecaps
toenail	toenails
toc	tocs
toehold	toeholds
toff	toffs
toffee	toffees
tog	togs
tofu	tofus
toggle	toggled
toggle	toggles
toe	toed
toggle	toggling
toga	togas
toil	toiled
toiler	toilers
toil	toiling
toilet	toilets
toilet-train	toilet-trained
toiletry	toiletries
toilet-train	toilet-training
toil	toils
toilette	toilettes
token	tokens
toilet-train	toilet-trains
tolerability	tolerabilities
tokamak	tokamaks
tolerance	tolerances
tolerate	tolerating
toll	tolled
tolerate	tolerated
toll	tolls
tolerate	tolerates
tollbridge	tollbridges
toluene	toluenes
tollhouse	tollhouses
toll	tolling
tomahawk	tomahawks
tomb	tombs
tomato	tomatoes
tombola	tombolas
tombstone	tombstones
tomcat	tomcats
tomboy	tomboys
tome	tomes
tomfoolery	tomfooleries
tomorrow	tomorrows
tomography	tomographies
tom-tom	tom-toms
tomtit	tomtits
ton	tons
tonality	tonalities
tone	tones
tone	toning
toner	toners
tone	toned
tongue	tongued
tongue	tongues
tongue	tonguing
tongue-twister	tongue-twisters
tonic	tonics
tom	toms
tonify	tonified
tonify	tonifying
tonnage	tonnages
tong	tongs
tonify	tonifies
tonsillectomy	tonsillectomies
tonsillitis	tonsillitides
tonne	tonnes
tonsure	tonsures
tonsil	tonsils
tool	tools
tool	tooling
toolkit	toolkits
toolbox	toolboxes
toolset	toolsets
toolmaker	toolmakers
toot	tooted
toon	toons
toot	tooting
tool	tooled
tooth	teeth
toothache	toothaches
toothbrushing	toothbrushings
toothpaste	toothpastes
toothbrush	toothbrushes
toothpowder	toothpowders
toothpick	toothpicks
toothy	toothier
toothy	toothiest
tootle	tootled
tootle	tootling
toot	toots
tootsie	tootsies
top	topping
tootle	tootles
top	tops
top	topped
topcoat	topcoats
topaz	topazes
topicality	topicalities
tope	topes
top-knot	top-knots
topographer	topographers
topoisomerase	topoisomerases
topic	topics
topography	topographies
topping	toppings
topology	topologies
topper	toppers
topple	toppling
top-up	top-ups
tor	tors
topple	toppled
torchbearer	torchbearers
torment	tormented
torment	tormenting
torch	torches
topple	topples
tormentil	tormentils
tornado	tornadoes
tormentor	tormentors
torment	torments
torpedo	torpedoed
tornado	tornados
torpedo	torpedoing
toroid	toroids
torpedo	torpedoes
torque	torques
torpedo	torpedos
torpor	torpors
torrent	torrents
torsion	torsions
torso	torsoes
torso	torsi
torso	torsos
tortilla	tortillas
tortoiseshell	tortoiseshells
tort	torts
tortoise	tortoises
torture	torturing
torturer	torturers
torture	tortures
toru	torus
torture	tortured
torus	tori
Tory	Tories
torus	toruses
toss	tossing
toss	tosses
tot	tots
toss	tossed
tot	totting
toss	tost
tot	totted
total	totaling
total	totalling
total	totaled
total	totalled
totalise	totalised
totalise	totalising
totality	totalities
totalize	totalized
totalize	totalizes
totalize	totalizing
total	totals
totalise	totalises
tote	toting
tote	totes
totem	totems
totter	tottered
totter	tottering
tote	toted
totter	totters
toucan	toucans
touch	touches
touch	touching
touchdown	touchdowns
touchline	touchlines
touchscreen	touchscreens
toto	totos
touch-screen	touch-screens
touch	touched
touch-type	touch-typed
touch-type	touch-typing
touchstone	touchstones
touch-type	touch-types
touchy	touchiest
touch-up	touch-ups
touchy	touchier
tough	tougher
tough	toughest
toughen	toughened
toughen	toughening
tough	toughs
toughen	toughens
tour	toured
toughness	toughnesses
tour	tours
toupee	toupees
tourist	tourists
tourmaline	tourmalines
tourniquet	tourniquets
tour	touring
tousle	tousled
tousle	tousling
tournament	tournaments
tout	touted
tousle	tousles
tout	touting
tow	towing
tow	tows
tout	touts
towel	toweling
tow	towed
towel	towelled
towel	towels
towel	toweled
tower	towering
towel	towelling
tower	towers
tower	towered
towline	towlines
townhouse	townhouses
township	townships
townie	townies
townsman	townsmen
towrope	towropes
toxic	toxics
towpath	towpaths
toxicant	toxicants
toxicologist	toxicologists
toxicity	toxicities
toxicology	toxicologies
toxoid	toxoids
toxoplasmosis	toxoplasmoses
toxin	toxins
toy	toyed
town	towns
toyshop	toyshops
toy	toys
toy	toying
trace	traced
trace	tracing
trace	traces
tracer	tracers
tracery	traceries
trachea	tracheae
tracheostomy	tracheostomies
tracheotomy	tracheotomies
tr	trs
trachea	tracheas
track	tracked
trachoma	trachomata
track	tracks
tracing	tracings
tracksuit	tracksuits
track	tracking
tracker	trackers
tractability	tractabilities
traction	tractions
tract	tracts
tractor	tractors
trade	trades
trad	trads
trade	traded
trade-in	trade-ins
trademark	trademarked
trademark	trademarking
tradename	tradenames
tradeoff	tradeoffs
trademark	trademarks
trade	trading
trade-off	trade-offs
tradition	traditions
tradesman	tradesmen
traditionalist	traditionalists
traduce	traduces
traduce	traducing
trader	traders
traduce	traduced
traffic	trafficking
trafficker	traffickers
tragedy	tragedies
tragicomedy	tragicomedies
trail	trailed
traffic	trafficked
trail	trailing
traffic	traffics
trailblazer	trailblazers
trailer	trailers
train	training
train	trained
trainee	trainees
train	trains
traineeship	traineeships
trail	trails
trainer	trainers
traipse	traipses
training	trainings
trait	traits
traipse	traipsing
trajectory	trajectories
traitor	traitors
tramcar	tramcars
tramline	tramlines
trammel	trammelled
trammel	trammelling
trammel	trammels
tramp	tramped
traipse	traipsed
tramp	tramping
trample	trampled
trample	tramples
trample	trampling
trampoline	trampolines
tramway	tramways
tramp	tramps
trance	trances
tranquilize	tranquilized
tranquiliser	tranquilisers
tranquilize	tranquilizes
tranquilize	tranquilizing
tranquillise	tranquillised
tranquilizer	tranquilizers
tranquillise	tranquillising
tranquilliser	tranquillisers
tranquillize	tranquillized
tram	trams
tranquillize	tranquillizes
tranquillizer	tranquillizers
tranquillize	tranquillizing
transact	transacting
tranquillise	tranquillises
transaction	transactions
transaminase	transaminases
transceiver	transceivers
transact	transacted
transcend	transcended
transcend	transcending
transcend	transcends
transcribe	transcribed
transcribe	transcribing
transact	transacts
transcriber	transcribers
transcriptase	transcriptases
transcription	transcriptions
transcript	transcripts
transduce	transduced
transcriptome	transcriptomes
transcribe	transcribes
transducer	transducers
transduction	transductions
transect	transected
transduce	transduces
transduce	transducing
transept	transepts
transect	transecting
transfect	transfecting
transfect	transfects
transfect	transfected
transfection	transfections
transfer	transferring
transfer	transfers
transferase	transferases
transfer	transferred
transferee	transferees
transference	transferences
transferrin	transferrins
transfiguration	transfigurations
transferral	transferrals
transfigure	transfigures
transfigure	transfiguring
transect	transects
transfigure	transfigured
transfix	transfixed
transfix	transfixing
transform	transformed
transform	transforming
transform	transforms
transformation	transformations
transfuse	transfused
transformer	transformers
transfix	transfixes
transfuse	transfusing
transfusion	transfusions
transgene	transgenes
transgender	transgenders
transgress	transgressed
transfuse	transfuses
transgress	transgresses
transgression	transgressions
transgress	transgressing
transgressor	transgressors
transistor	transistors
transgenic	transgenics
transient	transients
transit	transits
transit	transited
transition	transitioned
transition	transitions
transition	transitioning
translate	translated
translate	translates
translate	translating
translation	translations
translator	translators
transl	transls
transit	transiting
transliterate	transliterates
transliterate	transliterating
transliteration	transliterations
translocate	translocates
transliterate	transliterated
translocation	translocations
translucency	translucencies
transmissibility	transmissibilities
transmission	transmissions
translocate	translocated
translocate	translocating
transmit	transmitted
transmit	transmitting
transmittal	transmittals
transmittance	transmittances
transmitter	transmitters
transmogrify	transmogrifies
transmogrify	transmogrifying
transmit	transmits
transmogrify	transmogrified
transmute	transmutes
transmutation	transmutations
transnational	transnationals
transom	transoms
transmute	transmuted
transmute	transmuting
transparency	transparencies
transpire	transpiring
transplant	transplanted
transplant	transplanting
transpire	transpired
transplant	transplants
transplantation	transplantations
transponder	transponders
transpire	transpires
transport	transported
transportation	transportations
transporter	transporters
transpose	transposed
transport	transporting
transpose	transposes
transpose	transposing
transposition	transpositions
transsexual	transsexuals
transposon	transposons
transship	transshipped
transship	transshipping
transshipment	transshipments
transship	transships
transversal	transversals
transvestite	transvestites
trap	trapped
transport	transports
trap	traps
transverter	transverters
trap	trapping
trap-door	trap-doors
trapezium	trapezia
trapeze	trapezes
trapezium	trapeziums
trapezius	trapeziuses
trapper	trappers
trapezoid	trapezoids
trapdoor	trapdoors
trapping	trappings
trashy	trashier
trashcan	trashcans
trashy	trashiest
trauma	traumata
traumatise	traumatised
traumatise	traumatises
trash	trashes
trauma	traumas
traumatize	traumatizes
traumatise	traumatising
traumatize	traumatizing
traumatize	traumatized
travel	traveling
travel	travelled
travel	travelling
travail	travails
traveler	travelers
traveller	travellers
travelogue	travelogues
traverse	traversed
traverse	traverses
traverse	traversing
travertine	travertines
travel	travels
travesty	travesties
travel	traveled
trawl	trawls
trawl	trawled
trawler	trawlers
tray	trays
trawlerman	trawlermen
trawl	trawling
treachery	treacheries
tread	treads
tread	treading
treadle	treadles
treadmill	treadmills
treason	treasons
treasure	treasured
tread	trod
treasure	treasures
treasure	treasuring
treasurer	treasurers
treasure-trove	treasure-troves
treat	treated
treasury	treasuries
treat	treating
treater	treaters
treatise	treatises
treat	treats
treatment	treatments
treble	trebled
treaty	treaties
tread	trodden
treble	trebles
tree	treeing
treble	trebling
treecreeper	treecreepers
treetop	treetops
tree-top	tree-tops
tree	trees
tree-trunk	tree-trunks
trefoil	trefoils
trek	trekking
trek	treks
trek	trekked
trekker	trekkers
tree	treed
trellis	trellises
trellis	trellising
tremble	trembled
trellis	trellised
trematode	trematodes
tremolo	tremolos
tremble	trembles
tremble	trembling
tremor	tremors
trench	trenched
trench	trenching
trend	trending
trench	trenches
trendsetter	trendsetters
trend-setter	trend-setters
trendy	trendier
trendy	trendies
trendy	trendiest
trepidation	trepidations
trespass	trespassed
trespass	trespasses
trespass	trespassing
trespasser	trespassers
tress	tresses
