eagle	eagles
elderly	elderliest
elect	electing
elect	elects
elect	elected
election	elections
electioneer	electioneering
electioneer	electioneered
elective	electives
electioneer	electioneers
electorate	electorates
elate	elated
elector	electors
electrify	electrified
electrify	electrifying
electrician	electricians
electrocardiogram	electrocardiograms
electrochemistry	electrochemistries
electrocute	electrocuted
electrocute	electrocutes
electrocute	electrocuting
electrocution	electrocutions
electrode	electrodes
electrify	electrifies
electroencephalogram	electroencephalograms
electrolysis	electrolyses
electromagnet	electromagnets
electrolyte	electrolytes
electrometer	electrometers
electromyography	electromyographies
electronegativity	electronegativities
electro	electros
electronic	electronics
electrophile	electrophiles
electrophysiology	electrophysiologies
electron	electrons
electroplate	electroplated
electroplate	electroplating
electrophoresis	electrophoreses
electroscope	electroscopes
electrotherapy	electrotherapies
electroplate	electroplates
elephant	elephants
element	elements
elevate	elevates
elegy	elegies
elevate	elevated
elevation	elevations
elevator	elevators
eleven	elevens
elevate	elevating
elicit	elicited
eleventh	elevenths
elicit	elicits
elicit	eliciting
elicitation	elicitations
elide	elided
elicitor	elicitors
elide	eliding
eligibility	eligibilities
eligible	eligibles
eliminate	eliminated
eliminate	eliminates
eliminate	eliminating
elimination	eliminations
elision	elisions
eliminator	eliminators
elite	elites
elitist	elitists
elixir	elixirs
elk	elks
elf	elves
ellipse	ellipses
ellipsoid	ellipsoids
elliptical	ellipticals
ellipticity	ellipticities
elide	elides
ellipsis	ellipses
elongate	elongated
elongate	elongating
elongation	elongations
elope	eloped
elongate	elongates
elope	elopes
elope	eloping
elucidate	elucidated
elopement	elopements
elucidate	elucidating
elucidation	elucidations
elude	eluded
elucidate	elucidates
elude	eluding
elute	eluted
elude	eludes
elute	eluting
elution	elutions
elytron	elytra
elytron	elytrons
elm	elms
elute	elutes
emaciate	emaciates
emaciate	emaciating
email	emailed
elytrum	elytra
emaciate	emaciated
e-mail	e-mailed
e-mail	e-mailing
email	emails
email	emailing
emanate	emanated
emanate	emanating
e-mail	e-mails
emanation	emanations
emancipate	emancipates
emancipate	emancipating
emasculate	emasculated
emasculate	emasculates
emanate	emanates
emancipate	emancipated
emasculation	emasculations
emasculate	emasculating
embalm	embalms
embalm	embalmed
embalm	embalming
embank	embanks
embank	embanking
embankment	embankments
embargo	embargoed
embargo	embargoing
embargo	embargos
embark	embarked
embark	embarking
embark	embarks
embargo	embargoes
embarkation	embarkations
embarrass	embarrassed
embank	embanked
embarrass	embarrassing
embarrassment	embarrassments
embassy	embassies
embarrass	embarrasses
embed	embedding
embayment	embayments
embellish	embellished
embed	embeds
embellish	embellishes
embellish	embellishing
ember	embers
embellishment	embellishments
embezzle	embezzles
embezzle	embezzled
embezzle	embezzling
embezzlement	embezzlements
embed	embedded
embitter	embittered
embitter	embittering
emblazon	emblazoning
embitter	embitters
emblazon	emblazoned
embodiment	embodiments
emblem	emblems
emblazon	emblazons
embody	embodying
embolden	emboldened
embolden	emboldening
embody	embodies
embolden	emboldens
embolisation	embolisations
embolism	embolisms
embolization	embolizations
emboss	embossed
embody	embodied
emboss	embossing
embosser	embossers
embouchure	embouchures
embrace	embraced
embrace	embraces
embrace	embracing
embrasure	embrasures
embrocation	embrocations
emboss	embosses
embroider	embroidered
embroider	embroiders
embroider	embroidering
embroiderer	embroiderers
embroil	embroiled
embroidery	embroideries
embroil	embroiling
embryo	embryoes
embroil	embroils
embryogenesis	embryogeneses
embryo	embryos
embryology	embryologies
emend	emending
embolus	emboli
emend	emends
emend	emended
emerge	emerged
emerald	emeralds
emendation	emendations
emerge	emerging
emergency	emergencies
emergence	emergences
emesis	emeses
emerge	emerges
emery	emeries
emigrant	emigrants
emetic	emetics
emigrate	emigrated
emigrate	emigrating
emigration	emigrations
eminence	eminences
emir	emirs
emigre	emigres
emirate	emirates
emigrate	emigrates
emissary	emissaries
emit	emits
emission	emissions
emissivity	emissivities
emitter	emitters
emit	emitted
emollient	emollients
emote	emoted
emit	emitting
emote	emoting
emolument	emoluments
emotionality	emotionalities
empathise	empathised
emotion	emotions
empathise	empathises
empathise	empathising
empathize	empathizes
empathize	empathizing
emperor	emperors
empathize	empathized
emphasis	emphases
emphasise	emphasised
emphasise	emphasising
emphasise	emphasises
emphasize	emphasized
emphasize	emphasizing
emphysema	emphysemas
emphasize	emphasizes
emphysema	emphysemata
emote	emotes
empire	empires
emplace	emplaces
empiricist	empiricists
emplacement	emplacements
employ	employed
emplace	emplaced
employ	employs
employ	employing
employee	employees
employability	employabilities
employment	employments
emporium	emporia
employer	employers
emplace	emplacing
emporium	emporiums
empower	empowering
empress	empresses
empower	empowers
empower	empowered
empty	emptier
empty	emptiest
empty	empties
empty	emptying
emulate	emulated
emu	emus
empty	emptied
emulate	emulating
emulator	emulators
emulation	emulations
emulsifier	emulsifiers
emulsify	emulsifies
emulsify	emulsifying
emulate	emulates
emulsify	emulsified
emulsion	emulsioning
enable	enabled
emulsion	emulsions
enable	enabling
emulsion	emulsioned
enact	enacted
enabler	enablers
enact	enacts
enact	enacting
enactment	enactments
enamel	enameling
enable	enables
enamel	enameled
enamel	enamels
enamel	enamelled
enamel	enamelling
enamor	enamored
enamor	enamoring
enamour	enamoured
enamour	enamouring
enantiomer	enantiomers
encamp	encamped
enamour	enamours
encamp	encamps
encamp	encamping
encampment	encampments
encapsulate	encapsulates
enamor	enamors
encapsulate	encapsulated
encapsulation	encapsulations
encase	encases
encapsulate	encapsulating
encash	encashed
encash	encashes
encash	encashing
encephalitis	encephalitides
encase	encasing
encephalomyelitis	encephalomyelitides
enchant	enchanted
encephalopathy	encephalopathies
enchant	enchanting
enchanter	enchanters
enchantment	enchantments
enchantress	enchantresses
enchant	enchants
encipher	enciphered
encipher	enciphering
encase	encased
encipher	enciphers
encircle	encircling
encirclement	encirclements
encircle	encircled
enclose	enclosed
encircle	encircles
enclose	enclosing
enclave	enclaves
enclosure	enclosures
enclose	encloses
encode	encodes
encode	encoding
encoding	encodings
encomium	encomia
encoder	encoders
encomium	encomiums
encompass	encompasses
encompass	encompassing
encompass	encompassed
encore	encores
encore	encoring
encounter	encountered
encounter	encountering
encode	encoded
encounter	encounters
encourage	encourages
encore	encored
encourage	encouraging
encouragement	encouragements
encroach	encroached
encourager	encouragers
encourage	encouraged
encroachment	encroachments
encrust	encrusted
encroach	encroaches
encroach	encroaching
encrustation	encrustations
encrust	encrusting
encrypt	encrypted
encrypt	encrypting
encryption	encryptions
encumber	encumbered
encumber	encumbering
encrypt	encrypts
encumber	encumbers
encyclical	encyclicals
encumbrance	encumbrances
encyclopaedia	encyclopaedias
encrust	encrusts
encyclopedia	encyclopedias
encyst	encysted
encyst	encysting
end	ending
encyst	encysts
endanger	endangered
endanger	endangering
end	ends
endanger	endangers
endarterectomy	endarterectomies
endear	endearing
end	ended
endear	endears
endeavor	endeavored
endearment	endearments
endeavor	endeavors
endeavor	endeavoring
endeavour	endeavoured
endeavour	endeavours
endeavour	endeavouring
endemism	endemisms
endgame	endgames
ending	endings
endear	endeared
endocarditis	endocarditides
endocrine	endocrines
endocrinologist	endocrinologists
endocrinology	endocrinologies
endemic	endemics
endocytosis	endocytoses
endometriosis	endometrioses
endometrium	endometria
endive	endives
endonuclease	endonucleases
endorphin	endorphins
endometrium	endometriums
endorse	endorses
endorse	endorsed
endorse	endorsing
endorsement	endorsements
endoscope	endoscopes
endoscopist	endoscopists
endorser	endorsers
endoscopy	endoscopies
endosulfan	endosulfans
endosperm	endosperms
endothelium	endothelia
endotoxin	endotoxins
endothelium	endotheliums
endow	endowing
endoderm	endoderms
endowment	endowments
endow	endows
endow	endowed
end-point	end-points
end-product	end-products
endue	endues
endpoint	endpoints
endue	endued
endure	endured
endure	enduring
end-user	end-users
enema	enemas
endure	endures
endue	enduing
energise	energised
enema	enemata
energise	energising
energiser	energisers
energise	energises
enemy	enemies
energize	energizes
energize	energizing
energize	energized
enervate	enervated
enervate	enervating
enfeeble	enfeebled
enfeeble	enfeebles
enfeeble	enfeebling
energy	energies
enervate	enervates
enfold	enfolds
enfold	enfolding
enfold	enfolded
enforce	enforced
enforce	enforcing
enforcer	enforcers
enfranchise	enfranchised
enfranchise	enfranchising
engage	engaged
enfranchise	enfranchises
engage	engages
engage	engaging
enforce	enforces
engender	engendered
engender	engendering
engagement	engagements
engine	engines
engineer	engineered
engineer	engineering
engineman	enginemen
engender	engenders
engineer	engineers
Englishman	Englishmen
engorge	engorges
Englishwoman	Englishwomen
engorge	engorging
engraft	engrafting
engraft	engrafts
engraft	engrafted
engraftment	engraftments
engorge	engorged
engrail	engrailed
engrail	engrailing
engrain	engraining
engrain	engrained
engrain	engrains
engrave	engraved
engrave	engraves
engrave	engraving
engrail	engrails
engram	engrams
engraver	engravers
engraving	engravings
engross	engrossing
engulf	engulfed
engross	engrossed
engross	engrosses
engulf	engulfing
engulf	engulfs
enhance	enhanced
enhancement	enhancements
enhance	enhances
enhance	enhancing
enigma	enigmata
enhancer	enhancers
enjoin	enjoined
enjoin	enjoining
enjoin	enjoins
enigma	enigmas
enjoy	enjoys
enjoy	enjoyed
enjoyment	enjoyments
enlarge	enlarges
enlarge	enlarging
enlargement	enlargements
enlarge	enlarged
enlighten	enlightened
enlarger	enlargers
enlighten	enlightening
enlist	enlisted
enlighten	enlightens
enlist	enlists
enlist	enlisting
enlistment	enlistments
enliven	enlivening
enliven	enlivened
enjoy	enjoying
enliven	enlivens
enmesh	enmeshing
enmesh	enmeshes
ennoble	ennobled
enmesh	enmeshed
ennoble	ennobles
ennoble	ennobling
enormity	enormities
enough	enoughs
enmity	enmities
enquire	enquired
enquire	enquiring
enquire	enquires
enquirer	enquirers
enrage	enraged
enquiry	enquiries
enrage	enraging
enrapture	enraptured
enol	enols
enrage	enrages
enrapture	enrapturing
enrich	enriches
enrapture	enraptures
enrichment	enrichments
enrich	enriching
enrol	enroling
enrol	enroled
enrich	enriched
enrol	enrols
enrol	enrolled
enroll	enrolled
enroll	enrolling
enrollee	enrollees
enrollment	enrollments
enrolment	enrolments
ensconce	ensconced
ensconce	ensconces
enroll	enrolls
enrol	enrolling
ensconce	ensconcing
enshrine	enshrines
enshrine	enshrining
enshroud	enshrouded
ensemble	ensembles
enshroud	enshrouding
ensign	ensigns
enshrine	enshrined
enshroud	enshrouds
enslave	enslaving
enslavement	enslavements
ensnare	ensnared
ensnare	ensnares
enslave	enslaved
ensnare	ensnaring
ensue	ensued
enslave	enslaves
ensue	ensuing
ensure	ensured
ensure	ensuring
entail	entailed
ensure	ensures
entail	entailing
entangle	entangled
entangle	entangles
entangle	entangling
entanglement	entanglements
entente	ententes
entail	entails
enter	entered
enter	entering
enteritis	enteritides
enterococcus	enterococci
enteropathy	enteropathies
enter	enters
enterovirus	enteroviruses
entertain	entertained
enterprise	enterprises
entertain	entertaining
entertainer	entertainers
entertainment	entertainments
ensue	ensues
entertain	entertains
enthalpy	enthalpies
enthral	enthralled
enthral	enthralling
enthral	enthrals
enthral	enthraling
enthrall	enthralled
enthrall	enthralls
enthrall	enthralling
enthral	enthraled
enthrone	enthrones
enthronement	enthronements
enthuse	enthused
enthrone	enthroning
enthuse	enthusing
enthrone	enthroned
enthusiasm	enthusiasms
enthusiast	enthusiasts
entice	entices
enthuse	enthuses
enticement	enticements
entirety	entireties
entice	enticing
entitle	entitled
entitle	entitles
entitle	entitling
entitlement	entitlements
entomb	entombed
entice	enticed
entomb	entombing
entomologist	entomologists
entity	entities
entomology	entomologies
entrain	entrained
entourage	entourages
entrain	entrains
entrain	entraining
entrainment	entrainments
entrance	entrances
entrance	entrancing
entranceway	entranceways
entrant	entrants
entrance	entranced
entrap	entrapping
entomb	entombs
entrap	entrapped
entrapment	entrapments
entreat	entreating
entreat	entreated
entreaty	entreaties
entree	entrees
entrap	entraps
entreat	entreats
entrench	entrenched
entrench	entrenching
entrée	entrées
entrenchment	entrenchments
entropy	entropies
entrench	entrenches
entrust	entrusting
entrepreneur	entrepreneurs
entrust	entrusted
entwine	entwined
entwine	entwines
entwine	entwining
enucleation	enucleations
enumerate	enumerated
enumerate	enumerates
entrust	entrusts
enumerate	enumerating
enumeration	enumerations
enunciate	enunciated
enumerator	enumerators
enunciate	enunciates
enunciate	enunciating
enunciation	enunciations
env	envs
enuresis	enureses
envelop	enveloping
envelop	envelopped
envelop	enveloped
envelop	envelopping
envelope	envelopes
environ	environed
environ	environing
envelop	envelops
environment	environments
environmentalist	environmentalists
envisage	envisaged
environ	environs
envisage	envisages
envision	envisioned
envision	envisioning
envision	envisions
envisage	envisaging
envy	envied
envoy	envoys
envy	envying
entry	entries
enzyme	enzymes
enzymology	enzymologies
envy	envies
eosin	eosins
eosinophil	eosinophils
eosinophilia	eosinophilias
eon	eons
epaulet	epaulets
epaulette	epaulettes
ephedrine	ephedrines
ephedra	ephedras
ephemera	ephemerae
EP	EPs
ephemeral	ephemerals
ephemeris	ephemerides
epic	epics
ephemera	ephemeras
epicentre	epicentres
epicure	epicures
epicenter	epicenters
epidemiologist	epidemiologists
epidermis	epidermides
epidemiology	epidemiologies
epidural	epidurals
epidermis	epidermises
epiglottis	epiglottises
epigram	epigrams
epiglottis	epiglottides
epidemic	epidemics
epilepsy	epilepsies
epileptic	epileptics
epiphany	epiphanies
epigraph	epigraphs
epiphysis	epiphyses
episcopalian	episcopalians
epilogue	epilogues
episiotomy	episiotomies
epistemology	epistemologies
episode	episodes
epiphyte	epiphytes
epithelium	epithelia
epithelium	epitheliums
epistle	epistles
epitome	epitomes
epitaph	epitaphs
epitomise	epitomised
epitomise	epitomising
epitomise	epitomises
epitomize	epitomizes
epithet	epithets
epitomize	epitomized
epoch	epochs
epitomize	epitomizing
epitope	epitopes
epoxy	epoxies
eponym	eponyms
epoxide	epoxides
eq	eqs
equal	equaled
equal	equalling
equal	equaling
equalisation	equalisations
equalise	equalised
equal	equals
equal	equalled
equaliser	equalisers
equalise	equalises
equalise	equalising
equalization	equalizations
equalize	equalizes
equality	equalities
equalizer	equalizers
equalize	equalizing
equate	equates
equalize	equalized
equate	equating
equation	equations
equate	equated
equerry	equerries
equestrian	equestrians
equilibrate	equilibrates
equilibrate	equilibrating
equilibration	equilibrations
equilibrium	equilibria
equilibrate	equilibrated
equine	equines
equator	equators
equilibrium	equilibriums
equip	equipping
equinox	equinoxes
equipment	equipments
equip	equipped
equity	equities
equivalence	equivalences
equip	equips
equivalency	equivalencies
equivalent	equivalents
equivocate	equivocated
equivocate	equivocating
equivocation	equivocations
equivocate	equivocates
era	eras
equiv	equivs
eradicate	eradicates
eradicate	eradicating
eradicate	eradicated
eradication	eradications
er	ers
erase	erases
eraser	erasers
erase	erasing
erasure	erasures
erect	erected
erasures	erasure
erect	erects
erect	erecting
erector	erectors
erection	erections
ergometer	ergometers
ergonomist	ergonomists
ergot	ergots
erg	ergs
ergotamine	ergotamines
erode	eroded
ermine	ermines
erode	eroding
erase	erased
erosion	erosions
err	erring
erode	erodes
errand	errands
erratum	errata
err	errs
error	errors
erupt	erupting
erupt	erupts
erupt	erupted
eruption	eruptions
erythema	erythemata
erythrocyte	erythrocytes
erythromycin	erythromycins
erythropoietin	erythropoietins
err	erred
erythema	erythemas
escalate	escalating
escalate	escalates
escalation	escalations
escalope	escalopes
escalator	escalators
escapade	escapades
escape	escapes
escalate	escalated
escape	escaped
escape	escaping
escapement	escapements
escaper	escapers
escapist	escapists
escarpment	escarpments
escapologist	escapologists
escapee	escapees
eschew	eschews
eschew	eschewing
escort	escorting
escort	escorted
eschew	eschewed
escutcheon	escutcheons
esker	eskers
escort	escorts
esophagus	esophagi
esplanade	esplanades
esophagus	esophaguses
espousal	espousals
espouse	espouses
espouse	espoused
espouse	espousing
espresso	espressos
espy	espied
esprit	esprits
espy	espying
Eskimo	Eskimos
esquire	esquires
essay	essaying
essay	essayed
essayist	essayists
essence	essences
essential	essentials
essentialist	essentialists
establish	established
essay	essays
establish	establishes
establishment	establishments
establish	establishing
estate	estates
esteem	esteeming
espy	espies
esteem	esteemed
esterase	esterases
ester	esters
estimate	estimated
estimate	estimating
estimation	estimations
esteem	esteems
estimator	estimators
estrange	estranged
estimate	estimates
estradiol	estradiols
estrangement	estrangements
estrogen	estrogens
estrange	estranging
estuary	estuaries
estrange	estranges
etch	etched
etch	etching
etc	etcs
etch	etches
etcher	etchers
eternity	eternities
etch	etchs
etching	etchings
ethane	ethanes
ethanol	ethanols
ethic	ethics
ethene	ethenes
ethicist	ethicists
Ethiopian	Ethiopians
ethnicity	ethnicities
ethnographer	ethnographers
ethnography	ethnographies
ethnic	ethnics
ethnologist	ethnologists
ethnology	ethnologies
ethnomethodology	ethnomethodologies
ethology	ethologies
ethologist	ethologists
ethylene	ethylenes
ethoxylate	ethoxylates
etiolate	etiolated
etiolate	etiolating
etude	etudes
ether	ethers
etiology	etiologies
eucalyptus	eucalypti
etymology	etymologies
eucalyptus	eucalyptuses
eukaryote	eukaryotes
eucalypt	eucalypts
Eucharist	Eucharists
eulogize	eulogizing
eulogy	eulogies
eulogize	eulogized
euphemism	euphemisms
euphony	euphonies
euphoria	euphorias
Eurasian	Eurasians
euro	euros
eunuch	eunuchs
eulogize	eulogizes
euthanasia	euthanasias
euthanise	euthanised
euthanise	euthanises
euthanise	euthanising
European	Europeans
euthanize	euthanized
euthanize	euthanizing
ev	evs
eutectic	eutectics
euthanize	euthanizes
evacuate	evacuates
evacuate	evacuating
evacuation	evacuations
evacuee	evacuees
evacuate	evacuated
evade	evades
evade	evading
evaluate	evaluated
evaluate	evaluates
eval	evals
evaluate	evaluating
evaluation	evaluations
evanesce	evanesced
evade	evaded
evaluator	evaluators
evangelist	evangelists
evangelize	evangelized
evangelize	evangelizes
evangelize	evangelizing
evaporate	evaporated
evaporate	evaporates
evaporate	evaporating
evaporation	evaporations
evanesce	evanesces
evanesce	evanescing
eve	eves
evaporator	evaporators
evasion	evasions
even	evenner
even	evened
even	evening
evening	evenings
evenness	evennesses
even	evennest
evensong	evensongs
eventuality	eventualities
evergreen	evergreens
evert	everted
evert	everting
evert	everts
evict	evicted
evict	evicting
evict	evicts
eviction	evictions
evidence	evidenced
event	events
evidence	evidencing
evil	eviller
evidence	evidences
evil	evils
evil	evillest
evildoer	evildoers
evil-doer	evil-doers
evince	evinced
evince	evincing
eviscerate	eviscerated
eviscerate	eviscerates
eviscerate	eviscerating
evisceration	eviscerations
evocation	evocations
even	evens
evince	evinces
evoke	evoked
evoke	evoking
evolutionary	evolutionarier
evolution	evolutions
evolutionist	evolutionists
evolutionary	evolutionariest
evolve	evolved
evolvability	evolvabilities
evolve	evolving
ewe	ewes
evolve	evolves
evoke	evokes
ewer	ewers
exacerbate	exacerbated
exacerbate	exacerbating
exacerbation	exacerbations
exacerbate	exacerbates
exact	exacter
exact	exacted
exact	exactest
exact	exacts
exact	exacting
exaction	exactions
exactitude	exactitudes
exaggerate	exaggerated
exaggerate	exaggerating
exaggerate	exaggerates
exaggeration	exaggerations
exalt	exalting
exalt	exalts
exalt	exalted
exam	exams
examination	examinations
examine	examined
exaltation	exaltations
examine	examining
examinee	examinees
examine	examines
examiner	examiners
exasperate	exasperated
exasperate	exasperates
exasperate	exasperating
excavate	excavated
ex	exes
excavate	excavates
excavate	excavating
excavator	excavators
excavation	excavations
exceed	exceeding
exceed	exceeds
example	examples
exceedance	exceedances
excel	excelled
exceedence	exceedences
excel	excels
exceed	exceeded
Excellency	Excellencies
excellence	excellences
except	excepted
except	excepting
exception	exceptions
except	excepts
excel	excelling
excerpt	excerpting
excess	excesses
excerpt	excerpts
exchange	exchanged
exchange	exchanging
exchanger	exchangers
exchange-rate	exchange-rates
exchequer	exchequers
excipient	excipients
excise	excised
exchange	exchanges
excise	excising
excerpt	excerpted
excision	excisions
excitability	excitabilities
excite	excited
excitation	excitations
excite	excites
excite	exciting
excited	excitedly
exciter	exciters
excitement	excitements
exciton	excitons
exclaim	exclaimed
exclaim	exclaiming
exclamation	exclamations
exclaim	exclaims
exclosure	exclosures
exclude	excluded
exclude	excluding
excluder	excluders
excise	excises
exclude	excludes
exclusive	exclusives
exclusivist	exclusivists
excommunicate	excommunicated
excommunicate	excommunicating
exclusion	exclusions
excommunication	excommunications
excoriate	excoriates
excommunicate	excommunicates
excoriate	excoriating
excrescence	excrescences
excoriate	excoriated
excrete	excretes
excrement	excrements
excretion	excreta
excretion	excretions
exculpate	exculpated
excrete	excreted
exculpate	exculpates
exculpate	exculpating
excuse	excused
excursion	excursions
excrete	excreting
execrate	execrated
excuse	excusing
execrate	execrates
executable	executables
execute	executed
execrate	execrating
execute	executes
execute	executing
execution	executions
executive	executives
executioner	executioners
executrix	executrices
executor	executors
exegete	exegetes
exegesis	exegeses
exemplar	exemplars
exemplification	exemplifications
exemplify	exemplified
exemplify	exemplifying
excuse	excuses
exemplify	exemplifies
exempt	exempting
exempt	exempted
exemplum	exempla
exercise	exercised
exemption	exemptions
exercise	exercising
exempt	exempts
exercise	exercises
exerciser	exercisers
exercise-book	exercise-books
exert	exerts
exert	exerted
exertion	exertions
exfoliate	exfoliated
exfoliate	exfoliating
exert	exerting
exfoliate	exfoliates
exfoliation	exfoliations
exhalation	exhalations
exhale	exhaling
exhale	exhales
exhaust	exhausted
exhaust	exhausting
exhibit	exhibited
exhibit	exhibiting
exhale	exhaled
exhibit	exhibits
exhibition	exhibitions
exhibitionist	exhibitionists
exhaust	exhausts
exhibitor	exhibitors
exhilarate	exhilarated
exhort	exhorted
exhilarate	exhilarates
exhort	exhorting
exhilarate	exhilarating
exhortation	exhortations
exhume	exhumed
exhume	exhumes
exhort	exhorts
exhume	exhuming
exile	exiled
exhumation	exhumations
exigency	exigencies
exile	exiles
exist	existed
exist	exists
exile	exiling
existentialist	existentialists
exist	existing
existence	existences
exit	exits
exit	exited
exit	exiting
exon	exons
exocytosis	exocytoses
exodus	exoduses
exonerate	exonerates
exonerate	exonerating
exorcise	exorcised
exoneration	exonerations
exorcise	exorcising
exonerate	exonerated
exorcist	exorcists
exorcise	exorcises
exorcism	exorcisms
exorcize	exorcizing
exoskeleton	exoskeletons
exorcize	exorcized
exostosis	exostoses
exp	exps
exotic	exotics
expand	expanded
expand	expanding
expander	expanders
expand	expands
expanse	expanses
expatiate	expatiated
expatiate	expatiates
expatiate	expatiating
expansion	expansions
expatriate	expatriated
expatriate	expatriating
expect	expected
exorcize	exorcizes
expect	expects
expect	expecting
expectancy	expectancies
expectorant	expectorants
expatriate	expatriates
expediency	expediencies
expectation	expectations
expedite	expedites
expedient	expedients
expedition	expeditions
expeditioner	expeditioners
expel	expelled
expedite	expediting
expedite	expedited
expel	expelling
expel	expels
expend	expended
expendable	expendables
expenditure	expenditures
expend	expending
experience	experienced
expend	expends
expense	expenses
experience	experiencing
experiencer	experiencers
experiment	experimenting
experience	experiences
experiment	experimented
experimentalist	experimentalists
experimenter	experimenters
experimentation	experimentations
expertise	expertises
experiment	experiments
expiate	expiated
expert	experts
expiate	expiates
expiration	expirations
expire	expired
expiate	expiating
expiry	expiries
explain	explained
explain	explaining
explain	explains
explanation	explanations
expire	expiring
explant	explants
expletive	expletives
explicate	explicates
explicate	explicating
explication	explications
explode	exploded
explicate	explicated
explode	exploding
expire	expires
explode	explodes
exploit	exploiting
exploitation	exploitations
exploiter	exploiters
exploration	explorations
explore	explored
exploit	exploited
exploit	exploits
explore	exploring
explorer	explorers
explosion	explosions
exponent	exponents
explosive	explosives
exponential	exponentials
explore	explores
export	exports
export	exporting
export	exported
exporter	exporters
expose	exposed
expose	exposing
exposition	expositions
expostulate	expostulated
expositor	expositors
expostulate	expostulating
exposure	exposures
expostulate	expostulates
expound	expounded
expound	expounding
express	expressed
expose	exposes
express	expresses
express	expressing
