wack	wacks
wavelet	wavelets
waver	wavers
wavy	wavier
wavy	waviest
wax	waxed
wax	waxing
wax	waxes
waver	wavered
waxy	waxiest
waxwork	waxworks
waybill	waybills
wayfarer	wayfarers
way	ways
waylay	waylaid
waxy	waxier
waylay	waylaying
wayside	waysides
weak	weakest
waylay	waylayed
weaken	weakened
weak	weaker
waylay	waylays
weaken	weakening
weakling	weaklings
weakly	weaklier
weakness	weaknesses
weal	weals
weaken	weakens
wealthy	wealthier
wean	weaning
wealthy	wealthiest
wean	weans
wean	weaned
weaner	weaners
wear	wears
weapon	weapons
wear	wearing
wc	wc's
weary	wearied
wear	worn
weary	wearier
weary	wearies
weary	weariest
weasel	weasels
weary	wearying
weather	weathered
weather	weathering
weather	weathers
weathercock	weathercocks
weatherman	weathermen
weather-vane	weather-vanes
weave	weaves
weave	weaved
weave	weaving
weave	wove
weave	woven
weaver	weavers
web	webbed
weaving	weavings
web	webbing
web	webs
webmaster	webmasters
webpage	webpages
website	websites
web-site	web-sites
wed	wedded
wed	wedding
wed	weds
wedding	weddings
wedge	wedged
wedge	wedging
wedge	wedges
Wednesday	Wednesdays
wee	weed
wee	weeing
wearer	wearers
wee	weer
wear	wore
weed	weeded
weed	weeding
weedkiller	weedkillers
weeder	weeders
weed	weeds
weed-killer	weed-killers
wee	wees
weedy	weedier
weedy	weediest
week	weeks
weekday	weekdays
week-day	week-days
weekender	weekenders
weekly	weeklies
weekend	weekends
weeknight	weeknights
weeny	weeniest
weep	weeping
weep	weeps
weep	wept
weepy	weepies
weft	wefts
weevil	weevils
weigh	weighing
weigh	weighed
weighbridge	weighbridges
weigh	weighs
weigh-in	weigh-ins
weighing	weighings
weight	weighting
weight	weighted
weight	weights
weeny	weenier
weighting	weightings
weightlifter	weightlifters
weighty	weightiest
weighty	weightier
weird	weirder
weir	weirs
weird	weirdest
weirdo	weirdos
welch	welches
welch	welched
welch	welching
welcome	welcomes
welcome	welcoming
welcome	welcomed
week-end	week-ends
weld	welding
welder	welders
weld	welds
well	welling
well	best
well	welled
weld	welded
well-being	well-beings
well-defined	better-defined
well	wells
well-kept	best-kept
wellspring	wellsprings
well-kept	better-kept
well-trained	better-trained
well-trained	best-trained
well	better
wellington	wellingtons
welly	wellies
well-wisher	well-wishers
welsh	welshed
welsh	welshing
wellwisher	wellwishers
Welshwoman	Welshwomen
welt	welts
Welsh	Welshes
wench	wenches
Welshman	Welshmen
wen	wens
wend	wending
wend	wends
werewolf	werewolves
western	westerns
westerner	westerners
westernise	westernised
westernise	westernises
westernize	westernized
westernize	westernizes
westernise	westernising
westernize	westernizing
westward	westwards
wend	wended
welterweight	welterweights
wet	wets
wet	wetted
wet	wettest
wet	wetter
wet	wetting
wetland	wetlands
wetsuit	wetsuits
wet-nurse	wet-nurses
wether	wethers
whack	whacking
whack	whacks
whaler	whalers
whale	whales
whacking	whackings
wetter	wetters
wharf	wharves
wheat	wheats
wheatear	wheatears
wheatgrass	wheatgrasses
whack	whacked
wheedle	wheedled
wheedle	wheedling
wheel	wheeled
wheel	wheeling
wheedle	wheedles
wheelbarrow	wheelbarrows
wharf	wharfs
wheelbase	wheelbases
wheelchair	wheelchairs
wheeler-dealer	wheeler-dealers
wheel-chair	wheel-chairs
wheelhouse	wheelhouses
wheelwright	wheelwrights
wheel	wheels
wheelie	wheelies
wheeze	wheezing
wheezy	wheezier
wheezy	wheeziest
wheeze	wheezes
wheeze	wheezed
whelm	whelming
whelp	whelping
whelp	whelps
whelp	whelped
whelk	whelks
wherefore	wherefores
where	wheres
whet	whets
whet	whetted
whet	whetting
whiff	whiffs
whelm	whelms
whetstone	whetstones
while	whiled
Whig	Whigs
while	whiling
whim	whims
whimper	whimpered
whimper	whimpering
whimper	whimpers
while	whiles
whimsy	whimsies
whine	whines
whelm	whelmed
whine	whining
whine	whined
whinge	whingeing
whinge	whinging
whinge	whinged
whinny	whinnies
whinny	whinnying
whip	whipping
whip	whipped
whip	whips
whinny	whinnied
whiplash	whiplashes
whippersnapper	whippersnappers
whippet	whippets
whippy	whippier
whip-round	whip-rounds
whir	whirring
whir	whirred
whir	whirs
whinge	whinges
whirl	whirled
whirl	whirling
whirlpool	whirlpools
whirlwind	whirlwinds
whirr	whirred
whirr	whirring
whirr	whirrs
whisk	whisked
whisk	whisking
whisker	whiskers
whiskey	whiskeys
whisk	whisks
whisky	whiskies
whisper	whispering
whisper	whispered
whisper	whispers
whirl	whirls
whistle	whistled
whistle	whistles
whistle	whistling
whistle-blower	whistle-blowers
whistler	whistlers
whistleblower	whistleblowers
white	whiter
whitebeam	whitebeams
white	whitest
whitefish	whitefishes
whitefly	whiteflies
whitehead	whiteheads
whiten	whitened
whiten	whitens
whiten	whitening
whitener	whiteners
whiteout	whiteouts
whitethroat	whitethroats
whitewash	whitewashed
whitewash	whitewashes
whitewash	whitewashing
whiting	whitings
Whitsun	Whitsuns
whittle	whittled
whittle	whittling
whiz	whized
whittle	whittles
whiz	whizes
whiz	whizzed
whiz	whizing
whiz	whizzes
whiz	whizzing
whizz	whizzed
whizz	whizzes
whizz	whizzing
whizz-kid	whizz-kids
whodunit	whodunits
whole	wholes
wholesale	wholesaled
wholefood	wholefoods
wholesale	wholesales
wholesaler	wholesalers
wholesale	wholesaling
whoop	whooped
whoop	whooping
whoosh	whooshes
whoop	whoops
whoosh	whooshed
whoosh	whooshing
whopper	whoppers
whore	whores
whorehouse	whorehouses
whorl	whorls
why	whies
why	whys
wick	wicks
wicked	wickeder
wicked	wickedest
wicket	wickets
wicket-keeper	wicket-keepers
wicketkeeper	wicketkeepers
wide	wides
wide	widest
wide	wider
wideband	widebands
widen	widened
widen	widening
widget	widgets
widen	widens
widow	widows
widower	widowers
width	widths
wield	wielded
wield	wields
wife	wives
wield	wielding
wifely	wifelier
wigeon	wigeons
wig	wigs
wiggle	wiggled
wiggle	wiggles
wiggler	wigglers
wiggle	wiggling
wild	wilder
wigwam	wigwams
wild	wildest
wild	wilds
wildcat	wildcats
wildfire	wildfires
wildebeest	wildebeests
wilderness	wildernesses
wild-type	wild-types
wile	wiled
wile	wiles
will	ll
will	'll
wile	wiling
will	willed
will	wills
will	willing
willie	willies
will-o-the-wisp	will-o-the-wisps
willow	willows
willow-herb	willow-herbs
willy	willies
wilt	wilted
wilt	wilting
wilt	wilts
wily	wilier
wily	wiliest
wimp	wimps
wimple	wimples
white	whites
win	wins
win	winning
wince	winced
win	won
wince	winces
wince	wincing
winch	winches
wind	winded
winch	winched
winch	winching
wind	winds
wind	winding
windbag	windbags
windbreak	windbreaks
winder	winders
windfall	windfalls
windlass	windlasses
winding	windings
windmill	windmills
window	windowed
window	windowing
window	windows
window-box	window-boxes
window-dresser	window-dressers
windowpane	windowpanes
window-frame	window-frames
window-pane	window-panes
window-shop	window-shopped
window-shop	window-shopping
wind	wound
window-shop	window-shops
window-sill	window-sills
windpipe	windpipes
windowsill	windowsills
windscreen	windscreens
windshield	windshields
windsurfer	windsurfers
windy	windiest
windstorm	windstorms
windy	windier
wine	wines
wine	wined
wineglass	wineglasses
winery	wineries
wine	wining
wing	winging
whin	whins
winger	wingers
wing	wings
wingman	wingmen
wing	winged
wink	winking
wink	winks
wingspan	wingspans
winkle	winkles
winkle	winkled
winning	winnings
winkle	winkling
winnow	winnowed
winnow	winnowing
winner	winners
winter	wintered
winter	wintering
wink	winked
winnow	winnows
wintry	wintrier
wintery	winterier
wipe	wiped
wipe	wipes
wipe	wiping
wiper	wipers
winter	winters
wire	wiring
wire	wired
wire	wires
wiredraw	wiredrawing
wiredraw	wiredrawn
wintry	wintriest
wiredraw	wiredrew
wireless	wirelesses
wire-tap	wire-tapped
wire-tap	wire-taps
wiredraw	wiredraws
wire-tap	wire-tapping
wiretap	wiretaps
wireworm	wireworms
wiry	wiriest
wiring	wirings
wise	wised
wisdom	wisdoms
wiry	wirier
wise	wiser
wise	wisest
wisecrack	wisecracked
wise	wising
wish	wished
wisecrack	wisecracking
wisecrack	wisecracks
wise	wises
wish	wishing
wishbone	wishbones
wispy	wispier
wish	wishes
wisteria	wisterias
wit	wits
wisp	wisps
wit	wot
wit	wist
wit	witting
witch	witches
witch-hunt	witch-hunts
withdraw	withdrawing
withdraw	withdrawn
withdraw	withdrawed
wit	witted
withdraw	withdrew
withdrawal	withdrawals
wither	withering
withdraw	withdraws
wither	withered
withhold	withheld
withhold	withholds
withhold	withholded
withhold	withholding
withstand	withstanding
wither	withers
withstand	withstands
witness	witnesses
witness	witnessing
witness-box	witness-boxes
witter	wittered
witness	witnessed
witter	witters
witter	wittering
witticism	witticisms
witty	wittiest
wizard	wizards
wk	wks
witty	wittier
wobble	wobbled
wobbler	wobblers
wobble	wobbling
wobble	wobbles
wobbly	wobblier
wog	wogs
wodge	wodges
withstand	withstood
wok	woks
woe	woes
wold	wolds
wolf	wolfed
wolf	wolfing
wolfhound	wolfhounds
wolf	wolfs
wolf	wolves
wolf-whistle	wolf-whistled
wolverine	wolverines
wolf-whistle	wolf-whistles
wolf-whistle	wolf-whistling
womanise	womanising
womanise	womanises
womanise	womanised
womanizer	womanizers
womanly	womanlier
womb	wombs
wombat	wombats
wonder	wondered
wonder	wondering
wonderland	wonderlands
wonder	wonders
wonky	wonkiest
woo	wooing
woman	women
wonky	wonkier
woo	wooed
wood	wooded
wood	wooding
wood-carving	wood-carvings
wood	woods
woodcock	woodcocks
woodcraft	woodcrafts
woodcutter	woodcutters
woodcut	woodcuts
woodland	woodlands
woodman	woodmen
woodlouse	woodlice
woodpecker	woodpeckers
woo	woos
woodpile	woodpiles
woodwind	woodwinds
woodsman	woodsmen
woodworm	woodworms
woodworker	woodworkers
woody	woodiest
woodchip	woodchips
woody	woodier
woodshed	woodsheds
woof	woofing
woof	woofed
wooer	wooers
woofer	woofers
woollen	woollens
woof	woofs
woolly	woollier
wooly	woolier
woolly	woollies
woolly	woolliest
woozy	wooziest
wop	wops
woozy	woozier
word	wording
word	worded
wording	wordings
wordlist	wordlists
wordy	wordiest
wordy	wordier
word	words
work	worked
work	working
work	wrought
work	works
workbench	workbenches
workbook	workbooks
workaholic	workaholics
workday	workdays
worker	workers
workflow	workflows
workforce	workforces
work-force	work-forces
workhorse	workhorses
workgroup	workgroups
wool	wools
workhouse	workhouses
workingman	workingmen
working	workings
work-in-progress	works-in-progress
worklist	worklists
work-life	work-lives
workload	workloads
work-load	work-loads
workmanship	workmanships
workman	workmen
workmate	workmates
work-out	work-outs
workout	workouts
workplace	workplaces
work-place	work-places
work-in	work-ins
worksheet	worksheets
workshop	workshops
worksite	worksites
worktop	worktops
workspace	workspaces
workstation	workstations
work-to-rule	work-to-rules
work-up	work-ups
world	worlds
worldly	worldlier
worldview	worldviews
worldly	worldliest
world-view	world-views
worm	wormed
worm	worming
workroom	workrooms
wormy	wormiest
wormer	wormers
worrier	worriers
worry	worries
worry	worried
worry	worrying
worsen	worsened
worsen	worsening
worsen	worsens
worship	worshiped
worship	worshipped
worship	worshiping
worship	worships
worship	worshipping
worshipper	worshippers
worshiper	worshipers
worst	worsted
worst	worsting
worth	worths
wormy	wormier
wort	worts
worst	worsts
worthy	worthier
worthy	worthies
worthy	worthiest
wound	wounding
wound	wounded
wow	wowed
worm	worms
wound	wounds
wow	wowing
WPC	WPCs
wrack	wracked
wrack	wracks
wrack	wracking
wrangle	wrangled
wraith	wraiths
wow	wows
wrangle	wrangles
wrangle	wrangling
wrangler	wranglers
wrap	wrapped
would	'd
wrap	wraps
wrap	wrapt
wrapper	wrappers
wrapping	wrappings
wreak	wreaked
wrasse	wrasses
wrap	wrapping
wreak	wreaking
wreath	wreaths
wreathe	wreathed
wreathe	wreathing
wreathe	wreathes
wreak	wreaks
wreck	wrecking
wrecker	wreckers
wreck	wrecks
wreck	wrecked
wrench	wrenching
wren	wrens
wrench	wrenches
wrest	wresting
wrest	wrested
wrench	wrenched
wrestle	wrestles
wrestle	wrestling
wrestle	wrestled
wrestler	wrestlers
wriggle	wriggled
wrest	wrests
wretch	wretches
wriggle	wriggles
wring	wringing
wriggle	wriggling
wring	wrings
wringer	wringers
wring	wrung
wrinkle	wrinkled
wrinkly	wrinklier
wright	wrights
wrinkle	wrinkles
wrist	wrists
wristband	wristbands
wristwatch	wristwatches
write	writing
write	writes
wrinkle	wrinkling
writ	writs
write	wrote
write-off	write-offs
write-up	write-ups
writer	writers
writhe	writhed
writhe	writhing
writing	writings
wrong	worse
write	written
writhe	writhes
wrong	wronged
wrong	wrongs
wrong	wronging
wrongdoing	wrongdoings
wrong-foot	wrong-footed
wrong	worst
wrong-foot	wrong-footing
wrong-foot	wrong-foots
wye	wyes
wry	wrier
wrongdoer	wrongdoers
wry	wriest
